language	year	period	date	sentence
russian	2024	Post-ChatGPT	2024-04-10	А ведь Беларусь начала формировать свои компетенции в этой сфере еще в советские годы: ученые и инженеры разрабатывали оборудование для космической индустрии всего Советского Союза.
russian	2024	Post-ChatGPT	2024-02-26	Авиакомпания также получила всего две звезды за качество посадки, чистоту салона и окружающую среду в салоне, и три звезды за соотношение цены и качества.
russian	2024	Post-ChatGPT	2024-11-08	Авиаудары нанесены рядом с территорией Ливанского государственного университета.
russian	2024	Post-ChatGPT	2024-11-19	А в июле Россия стала лидером по количеству объявлений о продаже баз данных компаний в теневом сегменте Сети.
russian	2024	Post-ChatGPT	2024-01-13	А в конце 2023-го коллектив подземки пополнили близняшки Дарья и Елена Рыжковы, которые удивляют всех своей схожестью.
russian	2024	Post-ChatGPT	2024-12-25	А в Ленинском районе областного центра двое сотрудниц кафе пытались избежать проверки и спрятались в подсобке среди компьютеров.
russian	2024	Post-ChatGPT	2024-08-31	А в начале их отношений пара часто конфликтовала.
russian	2024	Post-ChatGPT	2024-01-13	А в некоторых произведениях автор пытался запечатлеть ускользающую сущность своих видений и снов.
russian	2024	Post-ChatGPT	2024-01-23	А вот аренда квартир осталась на прежнем уровне — это от 90 тыс. тенге однокомнатная и до 250 тыс. тенге трехкомнатная.
russian	2024	Post-ChatGPT	2024-06-25	А вот морепродукты следует мыть перед приготовлением, в частности мидии, устрицы и гребешки.
russian	2024	Post-ChatGPT	2024-07-09	А вот по прошествии многих лет роли поменялись: ситуацию контролируют уже не папа и мама, а их дети.
russian	2024	Post-ChatGPT	2024-06-10	А вот пусковые установки и сами системы управления – есть большая проблема у россиян.
russian	2024	Post-ChatGPT	2024-01-06	"А вот размер спреда между покупкой/продажей этих валют будет зависеть уже от оценок курсовых рисков аналитиками отдельных сетей обменников финкомпаний и их индивидуальными задачами"", - отметил эксперт."
russian	2024	Post-ChatGPT	2024-05-04	"А вот сохранить мы их должны"", - уверена она."
russian	2024	Post-ChatGPT	2024-06-14	А вот то, что все красивое, закуска на праздничный стол, это с добавлением чего-то», — пояснил он.
russian	2024	Post-ChatGPT	2024-06-26	А вот то, что обе потолочные лампы загораются при нажатии единственной кнопки, — это какая-то неоправданная и нелогичная экономия.
russian	2024	Post-ChatGPT	2024-04-24	"А в рамках перечней разрешенных видов деятельности и индивидуальные предприниматели, и самозанятые могут продолжать свою работу и после 1 января 2026 года""."
russian	2024	Post-ChatGPT	2024-10-13	А в середине сентября в пригороде Челябинска водитель ВАЗ-2112 не сбросил скорость и устроил массовое ДТП на пешеходном переходе.
russian	2024	Post-ChatGPT	2024-03-11	«Австралийский полусредневес (до 77,1 кг) Джек Делла Маддалена (16-3) по итогам дебютного 2022 года в UFC заслуженно попал в номинацию лучших проспектов, выиграв три боя в первом раунде, но в 2023 застопорился.
russian	2024	Post-ChatGPT	2024-12-12	Австрийская компания OMV разорвала долгосрочный контракт на поставку газа с «дочкой» «Газпрома» - «Газпром экспорт».
russian	2024	Post-ChatGPT	2024-11-28	Автоматизация платежей сокращает время на обработку транзакций и снижает риск ошибок.
russian	2024	Post-ChatGPT	2024-11-27	Автор законопроекта Ким Лидбитер и консультировавшие ее специалисты предвидели эти аргументы и прописали ряд условий, которые должны предотвратить давление на пациентов.
russian	2024	Post-ChatGPT	2024-10-13	Автор идеи – журналист Алексей Елизарьев, фото- и видеоматериалы снимает Ольга Хинданова, организацией поездок по территориям занимается директор АНО «Байкал» Татьяна Швыдченко.
russian	2024	Post-ChatGPT	2024-10-25	Автор объясняет, что снимать этих крупных и неторопливых лесных гигантов — одно удовольствие.
russian	2024	Post-ChatGPT	2024-06-08	Автор программы привал бороться с этим, так как в противном случае в проигрыше могут оказаться все.
russian	2024	Post-ChatGPT	2024-05-31	Авторы The Sun проанализировали научные работы и заявили, что крепкая связь между играми и бездельем — стереотип.
russian	2024	Post-ChatGPT	2024-10-11	Авторы издания уточнили, что они провели собственную оценку вероятности исполнения требований украинского лидера по шкале «очень вероятно» и «почти без шансов».
russian	2024	Post-ChatGPT	2024-08-09	Авторы исследования советуют не только мыть, но и чистить огурцы и яблоки.
russian	2024	Post-ChatGPT	2024-11-21	Авторы смогли отразить всю красоту этой земли и достижения Таджикистана в годы независимости», — добавила Махбуба Камолова.
russian	2024	Post-ChatGPT	2024-11-12	Авто устанавливает новые стандарты безопасности в сегменте бюджетных авто.
russian	2024	Post-ChatGPT	2024-11-24	А в Черниговской и Киевской областях, где тревогу объявили еще раньше, она звучит до сих пор.
russian	2024	Post-ChatGPT	2024-10-01	А генеральный секретарь не уполномочен единолично формировать политику Североатлантического альянса.
russian	2024	Post-ChatGPT	2024-01-06	Агентство со ссылкой на медицинские круги пишет, что смерть наступила по естественным причинам.
russian	2024	Post-ChatGPT	2024-02-08	А год назад стало известно, что проблемы из-за необходимости заменить японские турбины Mitsubishi Heavy Industries (MHI), которые компания в 2022 году продавать отказалась.
russian	2024	Post-ChatGPT	2024-04-26	Агрессия – это не всегда плохая черта собаки.
russian	2024	Post-ChatGPT	2024-06-24	А даже если страна-агрессор применит тактическое ядерное оружие, это будет вооружение меньшей мощности.
russian	2024	Post-ChatGPT	2024-02-06	А далее были налажены связи с соответствующими производителями в РФ, они просто увеличили производство и нас полностью обеспечили.
russian	2024	Post-ChatGPT	2024-02-16	А дальше важно получить больничный лист в медицинском учреждении, причем на нем обязательно должна быть печать этого учреждения.
russian	2024	Post-ChatGPT	2024-10-30	Адаптации команды: ИИ используется для повышения вовлеченности сотрудников на разных этапах онбординга, генерации интересного контента и геймификации процессов.
russian	2024	Post-ChatGPT	2024-07-22	Адаптируйте обозначение, учитывая собранную в процессе исследования информацию.
russian	2024	Post-ChatGPT	2024-12-12	Адвокат считает преследование политически мотивированным, так как Джорбенадзе один из первых подписал обращение студентов и преподавателей Университета искусств о поддержке европейского курса и активно поддерживал университетскую забастовку.
russian	2024	Post-ChatGPT	2024-10-16	Адвокаты также просили отказать в удовлетворении ходатайства следствия и избрать в отношении подзащитного меру пресечения, не связанную с лишением свободы.
russian	2024	Post-ChatGPT	2024-05-26	А для помидоров самые лучшие соседи – листья салата, лук, фасоль или горох.
russian	2024	Post-ChatGPT	2024-05-13	А для растягивания линии фронта и оттягивания наших резервов прежде всего с Донбасса, то эта история с действиями россиян срабатывает.
russian	2024	Post-ChatGPT	2024-06-07	А для Сбера такая стартап-студия станет доступом к прорывным технологиям».
russian	2024	Post-ChatGPT	2024-02-25	"А для этого Украине нужны определенные инструменты"", - добавил представитель ОП и отметил, что Россия ""вкладывается в демотивацию"" против Украины."
russian	2024	Post-ChatGPT	2024-05-19	«Администрация города Алатыря, Собрание депутатов, Совет ветеранов войны и труда выражают искреннее соболезнования родным и близким Сергея Геннадьевича.
russian	2024	Post-ChatGPT	2024-07-28	Администрация Пскова заказала разработку проектно-сметной документации по объекту: «Строительство лыжно-биатлонного центра с лыжероллерной трассой в городе Пскове».
russian	2024	Post-ChatGPT	2024-07-08	Администрация района объявила режим повышенной готовности из-за пожара.
russian	2024	Post-ChatGPT	2024-08-13	А если будешь „толкать“ то, что модно, то такой контент может не „зайти“».
russian	2024	Post-ChatGPT	2024-01-17	А если все происходит через судебные споры, то и годы.
russian	2024	Post-ChatGPT	2024-05-10	А если ВСУ не остановят наступление окупантов на Константиновку и Дружковку, то через несколько недель они будут в Днепре, Харькове и Кривом Роге.
russian	2024	Post-ChatGPT	2024-07-28	А если меньше, то тебе никакой «цивилизации» не светит.
russian	2024	Post-ChatGPT	2024-03-21	А если миллиарды - то бояться уже нечего!
russian	2024	Post-ChatGPT	2024-10-11	А если нет — убедиться, что упражнение будет органично вписываться в дизайн всего курса.
russian	2024	Post-ChatGPT	2024-06-24	А если у вас есть интересное хобби и вы сможете его превратить в свой бизнес, то вы будете счастливым человеком.
russian	2024	Post-ChatGPT	2024-08-15	А еще — научиться работать с нейросетями и получить помощь карьерных специалистов.
russian	2024	Post-ChatGPT	2024-05-15	А еще оно идеально подходит в качестве основы для тортов.
russian	2024	Post-ChatGPT	2024-08-11	А еще он стимулирует обновление клеток, улучшает состояние кожи и волос.
russian	2024	Post-ChatGPT	2024-04-23	А еще о том, как он будет оправдываться за потерю Очеретино и обвал линии фронта в этом районе.
russian	2024	Post-ChatGPT	2024-11-14	А еще попытайтесь отучить себя от одной дурной привычки, которую делают многие.
russian	2024	Post-ChatGPT	2024-08-06	А еще специальные площадки для игровых видов спорта, а также место, где находятся уличные тренажеры и зона ГТО.
russian	2024	Post-ChatGPT	2024-01-19	А за 3 млн рублей никто не купит столько машин, тем более с таким кредитованием, как сегодня», — отметил глава РОАД.
russian	2024	Post-ChatGPT	2024-03-16	"А затем россияне вбрасывают в отечественное публичное пространство тезис о ""нелегитимности"" президента Зеленского после 20 мая."
russian	2024	Post-ChatGPT	2024-10-16	А зачем и Штатам такой проблемный актив сейчас?»
russian	2024	Post-ChatGPT	2024-06-07	Азербайджано-армянская нормализация: Ереван своими действиями должен подтвердить, что хочет мира -
russian	2024	Post-ChatGPT	2024-11-12	«Азербайджан поставил перед собой цель снизить вредные последствия изменения климата к 2025 году».
russian	2024	Post-ChatGPT	2024-06-26	Азербайджан присоединился к Глобальному обязательству по метану в феврале 2024 года, а компания SOCAR собирается присоединиться к Партнерству по борьбе с выбросами метана из нефтегазового сектора 2.0.
russian	2024	Post-ChatGPT	2024-01-17	А зимой, в мороз, жизненно важным навыком окажется умение развести огонь.
russian	2024	Post-ChatGPT	2024-04-14	А Израилю пришлось сдерживать этот натиск с помощью своих союзников.
russian	2024	Post-ChatGPT	2024-05-30	А именно о семантических диалектизмах — как по-разному одни и те же предметы.
russian	2024	Post-ChatGPT	2024-01-18	А инсулин помогает клеткам потреблять глюкозу активнее, а также нейронам - образовывать серотонин и дофамин - нейромедиаторы, которые бодрят мозг.
russian	2024	Post-ChatGPT	2024-02-15	АИС «Налог-3» с высокой точностью находит разрывы по НДС в цепочке контрагентов и может выявить выгодоприобретателя.
russian	2024	Post-ChatGPT	2024-01-08	А их публичная поддержка Путина, как пояснили в Институте, является жизненно важной для Кремля, поскольку дает возможность представить российское общество, таким, которое в значительной мере поддерживающее войну против Украины.
russian	2024	Post-ChatGPT	2024-08-02	А их числе еще одна часть проспекта Ленина от Лесопарковой до Цвиллинга, работы планируют завершить до 20 августа.
russian	2024	Post-ChatGPT	2024-09-12	Айхану больше нравится играть на сцене, но в течение последних шести-семи лет ему не удавалось это сделать.
russian	2024	Post-ChatGPT	2024-09-19	Академия Н.С. Михалкова ознакомит жителей Нижнего Новгорода со сценическим воплощением произведения А.С. Пушкина из цикла «Повести покойного Ивана Петровича Белкина» в исполнении актеров–выпускников Академии Н.С. Михалкова.
russian	2024	Post-ChatGPT	2024-07-03	А когда пришли, осталась последняя свободная лунка – возле тротуара.
russian	2024	Post-ChatGPT	2024-03-19	А к правоохранителям обращаюсь по оперативному и открытому для общественности расследованию информации Bihus.
russian	2024	Post-ChatGPT	2024-01-06	Актер добавил, что ему никогда не бывает скучно с Бедаревой, однако тот факт, что они являются коллегами, иногда осложняет их отношения.
russian	2024	Post-ChatGPT	2024-03-04	Актер сказал, что считает «странной формой тщеславия» давать комментарии по этому поводу.
russian	2024	Post-ChatGPT	2024-04-05	Актер также отметил, что, к счастью, им не пришлось переживать все ужасы оккупации.
russian	2024	Post-ChatGPT	2024-07-12	Активистка и находящаяся в изгнании писательница Стелла Ньянзи ранее была заключена после публикации стиха с критикой Мусевени.
russian	2024	Post-ChatGPT	2024-07-18	Активисты планировали устроить «самое крупное нарушение в современной истории Британии», чтобы заставить правительство прислушаться к их требованиям и отказаться от поиска новых источников нефти и газа в Северном море.
russian	2024	Post-ChatGPT	2024-08-09	Активная работа по их созданию идет, в том числе, в Новосибирской области.
russian	2024	Post-ChatGPT	2024-10-16	Активная социальная жизнь помогает людям дольше оставаться здоровыми, поэтому пенсионерам следует постоянно быть среди людей.
russian	2024	Post-ChatGPT	2024-09-28	Активнее стал развиваться и автотуризм, чему поспособствовало открытие трассы М-12 «Восток».
russian	2024	Post-ChatGPT	2024-11-24	Активно идет бронирование на новогодние праздники, а также на летний сезон 2025 года.
russian	2024	Post-ChatGPT	2024-09-04	Акт Н-1С вместе с документами, которые, в частности, подтверждают связь травмы с работой, следует направить страховщику в течение трех календарных дней со дня утверждения.
russian	2024	Post-ChatGPT	2024-09-02	Актриса не скрывает, что у них с коллегой особые отношения.
russian	2024	Post-ChatGPT	2024-08-11	Актриса снималась в «Сватах», «Давай найдем друг друга», «Жених» и других проектах.
russian	2024	Post-ChatGPT	2024-05-02	"Акции ""Газпрома"" перешли к падению после публикации финотчетности - РИА Новости, 02.05."
russian	2024	Post-ChatGPT	2024-11-30	Акции оппозиции начались в четверг после того, как премьер-министр Грузии заявил о решении приостановить рассмотрение вопроса о начале переговоров по членству Грузии в до 2028 года.
russian	2024	Post-ChatGPT	2024-04-01	Акцию охраняли полицейские, перекрывшие для движения автомобилей несколько расположенных вблизи улиц.
russian	2024	Post-ChatGPT	2024-02-01	Акция для новых абонентов действует по 29 февраля 2024 года.
russian	2024	Post-ChatGPT	2024-02-19	Акция продолжалась до 17:30, движение поездов разблокировали польские полицейские.
russian	2024	Post-ChatGPT	2024-07-26	"Акция состоялась, как отмечает агентство, ""несмотря на масштабную операцию по обеспечению безопасности, в которой приняли участие десятки тысяч военнослужащих и полицейских, призванных защитить мировое спортивное мероприятие от любых угроз""."
russian	2024	Post-ChatGPT	2024-07-30	Алабамское родео по глубоководной рыбалке проводится с 1929 года.
russian	2024	Post-ChatGPT	2024-01-26	Алгоритм продолжает работу с отобранными на предыдущем этапе товарами.
russian	2024	Post-ChatGPT	2024-04-24	Александра Лукашенко выдвинули единственным кандидатом на пост председателя Всебелорусского народного собрания (ВНС).
russian	2024	Post-ChatGPT	2024-10-07	Александр Лукашенко пожелал Владимиру Путину доброго здоровья и долголетия, счастья и успехов в государственной деятельности на благо российского народа и России.
russian	2024	Post-ChatGPT	2024-04-14	Александр Лукашенко поручил генеральному прокурору уделить этому самое пристальное внимание.
russian	2024	Post-ChatGPT	2024-04-25	Александр Лукашенко рассказал, что Вашингтон продолжает наращивать ударно-наступательные возможности в Европе.
russian	2024	Post-ChatGPT	2024-02-13	Александр Сырский подчеркнул, что лучше оставит какую-нибудь позицию, но не допустит гибели личного состава.
russian	2024	Post-ChatGPT	2024-04-07	Александр Цветков, ученый из Ярославской области, научный сотрудник Института биологии внутренних вод РАН имени Папанина, получил письмо с извинениями от прокуратуры города Москвы.
russian	2024	Post-ChatGPT	2024-07-15	Алексей Горинов получил 6 лет и 11 месяцев колонии.
russian	2024	Post-ChatGPT	2024-10-17	Алимханулы, тем временем, продвигается компанией Top Rank, которая также имеет деловое партнерство с Аль аш-Шейхом и саудовцами.
russian	2024	Post-ChatGPT	2024-11-25	Алипий построил столб, на котором проводил всю свою жизнь в молитве, посте и духовном созерцании.
russian	2024	Post-ChatGPT	2024-04-04	Алла Викторовна СМОЛЯК, родилась 7 сентября 1973 года, председатель Гомельской областной организации Белорусского Общества Красного Креста, проживает в г. Гомеле, член Коммунистической партии Беларуси, на территории Гомельской области прожила 26 лет.
russian	2024	Post-ChatGPT	2024-12-16	Амангельдиев назначен на место первого вице-премьера ушедшего Адылбека Касымалиева.
russian	2024	Post-ChatGPT	2024-07-12	А меж тем до презентации iPhone 16 года осталось пару месяцев.
russian	2024	Post-ChatGPT	2024-08-16	"Американская актриса Кейли Куоко, которая известна по сериалам ""Теория Большого взрыва"" и ""Бортпроводница"", выходит замуж."
russian	2024	Post-ChatGPT	2024-01-13	Американская компания OpenAI обновила политику использования чат-бота ChatGPT на основе искусственного интеллекта (ИИ), удалив оттуда прямой запрет на применение своей технологии в военных целях.
russian	2024	Post-ChatGPT	2024-05-22	Американская поп-исполнительница примерила откровенный наряд на новом видео.
russian	2024	Post-ChatGPT	2024-08-14	"Американские военные отмечают, что эти суда ""являли явную и непосредственную угрозу силам США и коалиции, а также торговым судам в регионе""."
russian	2024	Post-ChatGPT	2024-06-04	Американские ученые из Пенсильванского университета обнаружили заметные уровни радиоактивного радия в колониях речных мидий близ очистных сооружений.
russian	2024	Post-ChatGPT	2024-08-04	Американский репортёр перехватил внимание Василия из толпы зрителей после главного поединка вечера и успел выведать у Ломаченко его мнение о прошедшем событии.
russian	2024	Post-ChatGPT	2024-08-21	Американцы избавились почти от всех своих акций Мосбиржи на фоне выдачи управлением по контролю за иностранными активами (OFAC) лицензии на сворачивание операций с ней, а также выход из ценных бумаг.
russian	2024	Post-ChatGPT	2024-03-06	Американцы рекомендуют, чтобы каждый танк охраняла пехота, бронегруппа, только в таком случае он будет эффективен.
russian	2024	Post-ChatGPT	2024-04-29	Америка сейчас - как увядающая светская львица в последнем приступе молодости.
russian	2024	Post-ChatGPT	2024-06-06	А минимальная планка объема накопителей в iPhone Pro 16 будет составлять 256 гигабайт.
russian	2024	Post-ChatGPT	2024-05-04	А может быть, знает, но скрывает, говорит собеседница.
russian	2024	Post-ChatGPT	2024-05-18	А может, вам даже что-то приглянется и на больших экранах.
russian	2024	Post-ChatGPT	2024-11-25	А можно заказать штанцформу, как на фото (30-50 000 ₽) и рубить самим.
russian	2024	Post-ChatGPT	2024-09-16	"Анализируя деятельность республиканского общественного объединения ""Белая Русь"" по взаимодействию с трудовыми коллективами, с первичками, когда ты работаешь с людьми ""глаза в глаза"", то понимаешь, что белорусское общество стало совершенно другим."
russian	2024	Post-ChatGPT	2024-12-10	Анализ остатков показал, что туннель изначально был построен в раннем железном веке.
russian	2024	Post-ChatGPT	2024-09-25	Аналитика с использованием API «Яндекс Карт» позволяет нам более точно планировать сплиты для разных задач и продуктов.
russian	2024	Post-ChatGPT	2024-01-23	Аналитики отметили, что теперь между автодилерами начнется борьба за покупателя.
russian	2024	Post-ChatGPT	2024-03-19	Аналитики оценили масштабы проблем на российских производствах нефти - Газета.
russian	2024	Post-ChatGPT	2024-10-08	Аналитик указывает на 3 факта, из-за которых акции Solana могут упасть более.
